strategy,qty,MAE
pca,1,1.3903671088295397
pca,1,1.5132843791979005
pca,1,1.3725274012134752
pca,1,1.4091976195903175
pca,1,1.4405234255578967
pca,1,1.488675194799824
ppscore,1,1.7324061134913586
ppscore,1,1.681028808567027
ppscore,1,1.7015850009467794
ppscore,1,1.6965913496246765
ppscore,1,1.7219574161232307
ppscore,1,1.6506105914513682
pearson,1,1.7212909693702863
pearson,1,1.6820852245330589
pearson,1,1.770600231338631
pearson,1,1.7415017686313168
pearson,1,1.764317714331707
pearson,1,1.6649204048326927
pca,2,1.0872506650056262
pca,2,1.0016953266486759
pca,2,1.0311536042647984
pca,2,0.9923369579159804
pca,2,1.0875743601246755
pca,2,0.9649879202170659
ppscore,2,1.665748768022343
ppscore,2,1.6749951208775433
ppscore,2,1.7268839521823862
ppscore,2,1.670921227335466
ppscore,2,1.7545138527373276
ppscore,2,1.7277593001385245
pearson,2,1.7722937409846609
pearson,2,1.6397035065450773
pearson,2,1.5954249577459114
pearson,2,1.6599529498981926
pearson,2,1.548214760686524
pearson,2,1.7033798353496656
pca,3,1.0089161637658273
pca,3,0.9996764318396872
pca,3,1.0402818897859567
pca,3,0.9959409790210754
pca,3,0.9272565258272548
pca,3,0.9444101353859174
ppscore,3,1.7031025327969709
ppscore,3,1.7334173940202717
ppscore,3,1.6886828105024816
ppscore,3,1.745695363884932
ppscore,3,1.7739968547205922
ppscore,3,1.823453381569762
pearson,3,1.7682798226116268
pearson,3,1.6602235720087615
pearson,3,1.6162473107278856
pearson,3,1.7303076731234952
pearson,3,1.6602284485559915
pearson,3,1.6775819490641548
pca,4,0.8613879851796452
pca,4,0.8152809354119221
pca,4,0.8903879993782625
pca,4,0.7793849650458375
pca,4,0.9325885110248644
pca,4,0.8473150029677483
ppscore,4,1.6976686607912064
ppscore,4,1.757235265907221
ppscore,4,1.8330796456133538
ppscore,4,1.734300076289738
ppscore,4,1.800799253945008
ppscore,4,1.8453628701766571
pearson,4,1.6074280775393035
pearson,4,1.7686477471149
pearson,4,1.8559739008088754
pearson,4,1.7981856347825287
pearson,4,1.8372185593819699
pearson,4,1.7513462033773313
pca,5,0.8466500390236146
pca,5,0.8624192906859823
pca,5,0.803778355224022
pca,5,0.8034273032185061
pca,5,0.9239334509481316
pca,5,0.9056194412744042
ppscore,5,1.6981694671220207
ppscore,5,1.8811613459895766
ppscore,5,1.851176297530784
ppscore,5,1.6557502190371445
ppscore,5,1.634900000014093
ppscore,5,1.8796516448045246
pearson,5,1.5731699850920828
pearson,5,1.7508429888952353
pearson,5,1.6709521199494355
pearson,5,1.8030109257978868
pearson,5,1.7336918211354453
pearson,5,1.6604558701159708
pca,6,1.0342009997732915
pca,6,0.9365534855139477
pca,6,0.9768732960699665
pca,6,0.9244703124002974
pca,6,0.9269611058944971
pca,6,0.9140396146374083
ppscore,6,1.7418156557110958
ppscore,6,1.8479563046188339
ppscore,6,1.7466907761108732
ppscore,6,1.6906167099955358
ppscore,6,1.723073805080886
ppscore,6,1.8505590107397307
pearson,6,1.737902854264191
pearson,6,1.7237393347833954
pearson,6,1.7545627703587379
pearson,6,1.6298867441800353
pearson,6,1.8369894125858945
pearson,6,1.7574181951882795
pca,7,0.9086849959216708
pca,7,0.9353816493630422
pca,7,0.8758501304992103
pca,7,1.01264277792642
pca,7,1.0588475705690008
pca,7,1.0089912136950634
ppscore,7,1.834138462642188
ppscore,7,1.6697368420029415
ppscore,7,1.7137618610339664
ppscore,7,1.879001009735374
ppscore,7,1.8254088212874922
ppscore,7,1.921342689005255
pearson,7,1.6244787170315522
pearson,7,1.5853902811819685
pearson,7,1.6421994244669271
pearson,7,1.6635468040445467
pearson,7,1.6818465031391536
pearson,7,1.7028562832809973
pca,8,0.9863281111079477
pca,8,0.9512588845322697
pca,8,1.0216536448673401
pca,8,1.1402740860766574
pca,8,1.0612092223048801
pca,8,1.027901843684635
ppscore,8,1.7643436753755675
ppscore,8,1.770453255358087
ppscore,8,1.6400273866925659
ppscore,8,1.6267462343887038
ppscore,8,1.7661172062499657
ppscore,8,1.7962270037002626
pearson,8,1.6603696154898535
pearson,8,1.6440375684092177
pearson,8,1.6930285538183678
pearson,8,1.57366737095537
pearson,8,1.6789455791945382
pearson,8,1.5879709328311553
pca,9,0.9682316150852064
pca,9,0.913952410149472
pca,9,1.0082949766171125
pca,9,1.0153985039968658
pca,9,0.9883006264662137
pca,9,0.9314319044531061
ppscore,9,1.5528809068756788
ppscore,9,1.7278360093720289
ppscore,9,1.7499381780532202
ppscore,9,1.660763757446802
ppscore,9,1.5994081578765786
ppscore,9,1.691410154386061
pearson,9,1.6591822018833808
pearson,9,1.7005207562260856
pearson,9,1.662766881057633
pearson,9,1.6595887701018996
pearson,9,1.6305638267770397
pearson,9,1.7237807096532758
pca,10,1.0418397228874876
pca,10,1.1293605860559657
pca,10,1.0391580964006473
pca,10,1.0823091246525833
pca,10,1.0050136678604877
pca,10,1.0344151170212155
ppscore,10,1.7710860316007504
ppscore,10,1.675068720161172
ppscore,10,1.6957369318202218
ppscore,10,1.8616517421890004
ppscore,10,1.6406281717750582
ppscore,10,1.682741174718746
pearson,10,1.5867185840493672
pearson,10,1.5244832093671152
pearson,10,1.5362249597313156
pearson,10,1.546060339487964
pearson,10,1.613422178037387
pearson,10,1.5417293792282993
